ans	Most recent answer
matlab.system.display.Header	Specify header in Block Parameters dialog box for MATLAB System block
matlab.system.display.Icon	Specify custom image as icon for MATLAB System block
matlab.system.display.Section	Create property group section in Block Parameters dialog box for MATLAB System block
matlab.system.display.SectionGroup	Create nested groupings of properties in Block Parameters dialog box for MATLAB System block
matlab.system.mixin.FiniteSource	Class that adds ability to check for the end of finite data source used by System object
nargin	Number of input arguments for System object
nargout	Number of output arguments for System object
output	Query current output of a System object
processInputSpecificationChangeImpl	Perform actions when input size, complexity, or data type change
processTunedPropertiesImpl	Action when tunable properties change
propagatedInputComplexity	Complexity of input during Simulink propagation
propagatedInputDataType	Data type of input during Simulink propagation
propagatedInputFixedSize	Fixed-size status of input during Simulink propagation
propagatedInputSize	Size of input during Simulink propagation
release	Release resources and allow changes to System object property values and input characteristics
releaseImpl	Release resources
reset	Reset internal states of System object
resetImpl	Reset System object states
saveObjectImpl	Save System object in MAT file
set	Set values for properties of a System object
setNumTicksUntilNextHit	Set the number of ticks in Simulink sample time
setProperties	Set property values using name-value pairs when creating System object
setup	One-time set up tasks for System objects
setupImpl	Initialize System object
showFiSettingsImpl	Fixed point data type tab visibility for System objects
showSimulateUsingImpl	Visibility of Simulate using parameter
step	Run System object algorithm
stepImpl	System output and state update equations
supports1DVectorsImpl	Enable MATLAB System block to use 1-D signals for input and output (Since R2022b)
supportsMultipleInstance	Check support for Simulink For Each subsystem for System object
supportsMultipleInstanceImpl	Support System object in Simulink For Each subsystem
sysobjupdate	Update custom System object to latest syntax (Since R2020b)
update	Update state of a System object based on inputs
updateImpl	Update object states based on inputs
validateInputsImpl	Validate inputs to System object
validatePropertiesImpl	Validate property values of System object
Files and Folders
File Operations
cd	Change current folder
copyfile	Copy file or folder
createSymbolicLink	Create symbolic link (Since R2024b)
delete	Delete files or objects
dir	List folder contents
exist	Check existence of variable, script, function, folder, or class
fileattrib	Set or get attributes of file or folder
filebrowser	Open Current Folder browser
isfile	Determine if input is file
isfolder	Determine if input is folder
isSymbolicLink	Determine if input is symbolic link (Since R2024b)
ls	List folder contents
mkdir	Make new folder
movefile	Move or rename file or folder
open	Open file in appropriate application
pwd	Identify current folder
recycle	Set option to move deleted files to recycle folder
rmdir	Remove folder
type	Display contents of file
visdiff	Compare two files or folders
what	List MATLAB files in folder
which	Locate functions and files
winopen	Open file in appropriate application (Windows)
Cloud File Storage
matlabdrive	Root folder of MATLAB Drive (Since R2021a)
Search Path
addpath	Add folders to search path
genpath	Generate search path
path	View or change search path
pathsep	Search path separator for current platform
pathtool	Open Set Path dialog box to view and change search path
rehash	Refresh function and file system path caches
restoredefaultpath	Restore search path to factory-installed state
rmpath	Remove folders from search path
savepath	Save current search path
userpath	View or change default user work folder
File Compression
gunzip	Extract contents of GNU zip file
gzip	Compress files into GNU zip files
tar	Compress files into tar file
untar	Extract contents of tar file
unzip	Extract contents of ZIP file
zip	Compress files into ZIP file
Filename Construction
filemarker	Character to separate file name from local or nested function name
fileparts	Get parts of file name
filesep	File separator for current platform
fullfile	Build full file name from parts
matlabdrive	Root folder of MATLAB Drive (Since R2021a)
matlabroot	MATLAB root folder
tempdir	Name of temporary folder for the system
tempname	Unique name for temporary file
toolboxdir	Root folder for specified toolbox
Code Execution
Evaluate Expressions
builtin	Execute built-in function from overloaded method
eval	Evaluate MATLAB expression
evalc	Evaluate MATLAB expression and capture results
evalin	Evaluate MATLAB expression in specified workspace
feval	Evaluate function
run	Run MATLAB script
Schedule Execution with Timer
delete	Delete files or objects
get	Query graphics object properties
isvalid	Determine valid handles
set	Set graphics object properties
start	Start timer
startat	Schedule timer to fire at specified time
stop	Stop timer
timer	Schedule execution of MATLAB commands
timerfind	Find timer objects
timerfindall	Find all timer objects
wait	Block command prompt until timer stops running
Run Portable Parallel Code
canUseGPU	Verify supported GPU is available for computation
canUseParallelPool	Verify that parallel functions can use a parallel pool (Since R2020b)
parallel.pool.Constant	Copy or create data only once on workers in parallel pool (Since R2021b)
parfevalOnAll	Run function on all workers in background
Exception Handling
addCause	Record additional causes of exception
addCorrection	Provide suggested fix for exception
getReport	Get error message for exception
matlab.lang.correction.AppendArgumentsCorrection	Correct error by appending missing input arguments
matlab.lang.correction.ConvertToFunctionNotationCorrection	Correct error by converting to function notation
matlab.lang.correction.ReplaceIdentifierCorrection	Correct error by replacing identifier in function call
MException	Capture error information
MException.last	Return last uncaught exception
rethrow	Rethrow previously caught exception
throw	Throw exception
throwAsCaller	Throw exception as if occurs within calling function
try, catch	Execute statements and catch resulting errors
Security in MATLAB Code
getSecret	Retrieve secret value from MATLAB vault (Since R2024a)
getSecretMetadata	Retrieve metadata of secret in MATLAB vault (Since R2024a)
isSecret	Determine if secret exists in MATLAB vault (Since R2024a)
listSecrets	List secret names and metadata sizes from MATLAB vault (Since R2024a)
loadenv	Load environment variables from .env and plain text files (Since R2023a)
matlab.lang.obfuscateNames	Obfuscate names of local variables, local functions, and nested functions (Since R2024b)
pcode	Create content-obscured, executable files
removeSecret	Remove secret from MATLAB vault (Since R2024a)
setSecret	Add secret to MATLAB vault (Since R2024a)
setSecretMetadata	Set metadata of secret in MATLAB vault (Since R2024a)
App Building
Develop Apps Programmatically
Develop uifigure-Based Apps
addStyle	Add style to UI component
axes	Create Cartesian axes
Button	Button UI component
ButtonGroup	Button group UI container
CheckBox	Check box UI component
CheckBoxTree Properties	Check box tree UI component (Since R2021a)
collapse	Collapse tree node
ColorPicker Properties	Color picker UI component (Since R2024a)
ContextMenu Properties	Context menu UI component
DatePicker Properties	Date picker UI component
DiscreteKnob	Discrete knob UI component
DropDown	Drop-down UI component
EditField	Edit field UI component
expand	Expand tree node
focus	Focus UI component (Since R2022a)
Gauge	Gauge UI component
geoaxes	Create geographic axes
GridLayout Properties	Grid layout manager UI container
HTML Properties	HTML UI component
Hyperlink Properties	Hyperlink UI component (Since R2021a)
Image Properties	Image UI component
isInScrollView	Determine if component is visible in scrollable container (Since R2022a)
Knob	Knob UI component
Label	Label UI component
Lamp	Lamp UI component
LinearGauge	Linear gauge UI component
ListBox	List box UI component
Menu	Menu UI component
move	Move tree node
movegui	Move figure to specified location on screen
NinetyDegreeGauge	Ninety-degree gauge UI component
NumericEditField	Numeric edit field UI component
open	Open context menu at location within UI figure (Since R2020a)
Panel	Panel UI container
polaraxes	Create polar axes
ProgressDialog Properties	Progress dialog box
PushTool Properties	Push tool UI component
RadioButton	Radio button UI component
Range Slider Properties	Range slider UI component (Since R2023b)
removeStyle	Remove style from UI component
RockerSwitch	Rocker switch UI component
scroll	Scroll to location within component
SemicircularGauge	Semicircular gauge UI component
sendEventToHTMLSource	Send HTML UI component event from MATLAB to JavaScript (Since R2023a)
Slider	Slider UI component
Spinner	Spinner UI component
StateButton	State button UI component
Switch	Switch UI component
Tab	Tab UI container
TabGroup	Tab group UI container
Table	Table UI component
TextArea	Text area UI component
ToggleButton	Toggle button UI component
ToggleSwitch	Toggle switch UI component
ToggleTool Properties	Toggle tool UI component
Toolbar Properties	Toolbar UI component
Tree	Tree UI component
TreeNode	Tree node UI component
uialert	Display alert dialog box
uiaxes	Create UI axes for plots in apps
uibutton	Create push button or state button component
uibuttongroup	Create button group to manage radio buttons and toggle buttons
uicheckbox	Create check box component
uicolorpicker	Create color picker component (Since R2024a)
uiconfirm	Create confirmation dialog box
uicontextmenu	Create context menu component
uidatepicker	Create date picker component
uidropdown	Create drop-down component
uieditfield	Create text or numeric edit field component
uifigure	Create figure for designing apps
uigauge	Create gauge component
uigetdir	Open folder selection dialog box
uigetfile	Open file selection dialog box
uigridlayout	Create grid layout manager
uihtml	Create HTML UI component
uihyperlink	Create hyperlink component (Since R2021a)
uiimage	Create image component
uiknob	Create knob component
uilabel	Create label component
uilamp	Create lamp component
uilistbox	Create list box component
uimenu	Create menu or menu items
uiopen	Open file selection dialog box and load selected file into workspace
uipanel	Create panel container
uiprogressdlg	Create progress dialog box
uipushtool	Create push tool in toolbar
uiputfile	Open dialog box for saving files
uiradiobutton	Create radio button component
uisave	Open dialog box for saving variables to MAT-file
uisetcolor	Open color picker
uislider	Create slider or range slider component
uispinner	Create spinner component
uistack	Reorder visual stacking of UI components
uistyle	Create style for UI component
uiswitch	Create slider switch, rocker switch, or toggle switch component
uitab	Create tabbed panel
uitabgroup	Create container for tabbed panels
uitable	Create table user interface component
uitextarea	Create text area component
uitogglebutton	Create toggle button component
uitoggletool	Create toggle tool in toolbar
uitoolbar	Create toolbar in figure
uitree	Create tree or check box tree component
uitreenode	Create tree node component
Maintain or Transition figure-Based Apps
align	Align UIControl components and Axes objects
axes	Create Cartesian axes
ButtonGroup	Button group UI container
ContextMenu	Context menu UI component
dialog	Create empty modal dialog box
errordlg	Create error dialog box
export2wsdlg	Create dialog box for exporting variables to workspace
exportsetupdlg	Open figure Export Setup dialog box
getappdata	Retrieve application data
getpixelposition	Get component position in pixels
guidata	Store or retrieve UI data
guihandles	Retrieve child objects of figure
helpdlg	Create help dialog box
inputdlg	Create dialog box to gather user input
isappdata	Determine if application data exists
listdlg	Create list selection dialog box
listfonts	List available system fonts
Menu	Menu UI component
movegui	Move figure to specified location on screen
msgbox	Create message dialog box
Panel	Panel UI container
printdlg	Open figure Print dialog box
printpreview	Open figure Print Preview dialog box
PushTool	Push tool UI component
questdlg	Create question dialog box
rmappdata	Remove application data
setappdata	Store application data
setpixelposition	Set component position in pixels
Tab	Tab UI container
TabGroup	Tab group UI container
Table	Table UI component
textwrap	Wrap text for user interface control
ToggleTool	Toggle tool UI component
Toolbar	Toolbar UI component
uibuttongroup	Create button group to manage radio buttons and toggle buttons
uicontextmenu	Create context menu component
uicontrol	Create user interface control
uigetdir	Open folder selection dialog box
uigetfile	Open file selection dialog box
uigetpref	Create dialog box that opens according to user preference
uimenu	Create menu or menu items
uiopen	Open file selection dialog box and load selected file into workspace
uipanel	Create panel container
uipushtool	Create push tool in toolbar
uiputfile	Open dialog box for saving files
uiresume	Resume execution of suspended program
uisave	Open dialog box for saving variables to MAT-file
uisetcolor	Open color picker
uisetfont	Open font selection dialog box
uisetpref	Manage preferences used in uigetpref
uistack	Reorder visual stacking of UI components
uitab	Create tabbed panel
uitabgroup	Create container for tabbed panels
uitable	Create table user interface component
uitoggletool	Create toggle tool in toolbar
uitoolbar	Create toolbar in figure
uiwait	Block program execution and wait to resume
waitbar	Create or update wait bar dialog box
waitfor	Block execution and wait for condition
waitforbuttonpress	Wait for click or key press
warndlg	Create warning dialog box
Develop Live Editor Tasks
generateCode	Generate code for instance of Live Editor task subclass (Since R2022a)
matlab.task.configureMetadata	Configure Live Editor task metadata (Since R2022a)
matlab.task.LiveTask	Base class for developing custom Live Editor tasks (Since R2022a)
matlab.task.removeMetadata	Remove Live Editor task metadata (Since R2022a)
reset	Reset instance of Live Editor task subclass (Since R2022a)
setup	Set up instance of Live Editor task subclass (Since R2022a)
Create Custom UI Components
appdesigner.customcomponent.configureMetadata	Configure custom UI component for use in App Designer (Since R2021a)
appdesigner.customcomponent.removeMetadata	Remove custom UI component from App Designer (Since R2021a)
matlab.ui.componentcontainer.ComponentContainer	Base class for developing custom UI component objects (Since R2020b)
setup	Set up instance of component container subclass (Since R2020b)
update	Update instance of UI component container subclass after setting properties (Since R2020b)
Package and Share Apps
matlab.apputil.create	Create or modify app project file interactively using the Package App dialog box
matlab.apputil.getInstalledAppInfo	List installed app information
matlab.apputil.install	Install app from a .mlappinstall file
matlab.apputil.package	Package app files into a .mlappinstall file
matlab.apputil.run	Run app programmatically
matlab.apputil.uninstall	Uninstall app
Migrate GUIDE Apps
appmigration.migrateGUIDEApp	Migrate GUIDE apps to App Designer (Since R2023a)
guide	(To be removed) Create or edit UI file in GUIDE
Software Development Tools
Debugging and Analysis
Debugging
dbclear	Remove breakpoints
dbcont	Resume execution
dbdown	Reverse dbup workspace shift
dbquit	Quit debug mode
dbstack	Function call stack
dbstatus	List all breakpoints
dbstep	Execute next executable line from current breakpoint
dbstop	Set breakpoints for debugging
dbtype	Display file with line numbers
dbup	Shift current workspace to workspace of caller in debug mode
echo	Display statements during function or script execution
keyboard	Give control to keyboard
Syntax Checking
checkcode	Check MATLAB code files for possible problems
codeIssues	Identify code issues in files (Since R2022b)
export	Write code issues to file (Since R2023b)
fix	Fix code issues (Since R2023a)
Release Compatibility
analyzeCodeCompatibility	Create code compatibility analysis results
codeCompatibilityReport	Create code compatibility report
Code Analyzer Configuration
matlab.codeanalysis.refreshConfiguration	Refresh cached Code Analyzer configuration (Since R2023a)
matlab.codeanalysis.validateConfiguration	Validate Code Analyzer configuration file (Since R2023a)
Performance and Memory
bench	MATLAB benchmark
clearAllMemoizedCaches	Clear caches for all MemoizedFunction objects
cputime	CPU time used by MATLAB
inmem	Names of functions, MEX files, and classes in memory
memoize	Add memoization semantics to function handle
MemoizedFunction	Call memoized function and cache results
memory	Memory information
profile	Profile execution time for functions
tic	Start stopwatch timer
timeit	Measure time required to run function
toc	Read elapsed time from stopwatch
Background Processing
Background Execution
backgroundPool	Environment for running code in the background (Since R2021b)
parfeval	Run function in background
Futures
afterAll	Run function after all functions finish running in the background
afterEach	Run function after each function finishes running in the background
cancel	Stop function running in the background
cancelAll	Stop all functions running in the background (Since R2022a)
fetchNext	Retrieve next unread outputs from Future array
fetchOutputs	Retrieve results from function running in the background
Future	Function scheduled to run
wait	Wait for futures to complete
Data Queues
afterEach	Run function after data is received on DataQueue
parallel.pool.DataQueue	Send and automatically process data
parallel.pool.PollableDataQueue	Send and manually retrieve data
poll	Retrieve data from PollableDataQueue
send	Send data to DataQueue or PollableDataQueue
Projects
Create and Export Projects
close	Close project
currentProject	Get current project
export	Export project to archive
isLoaded	Determine if project is loaded
matlab.project.convertDefinitionFiles	Change definition file type of project (Since R2020b)
matlab.project.createProject	Create blank project
matlab.project.deleteProject	Stop folder management and delete project definition files
matlab.project.extractProject	Extract project from archive (Since R2022b)
matlab.project.loadProject	Load project
matlab.project.rootProject	Get root project
openProject	Load an existing project
reload	Reload project
Setup Projects
addFile	Add file or folder to project
addFolderIncludingChildFiles	Add folder and child files to project
addPath	Add folder to project path
addReference	Add referenced project to project
addShortcut	Add shortcut to project
addShutdownFile	Add shutdown file to project
addStartupFile	Add startup file to project
listAllProjectReferences	List all projects in reference hierarchy of current project (Since R2021a)
removeFile	Remove file or folder from project
removePath	Remove folder from project path
removeReference	Remove project reference
removeShortcut	Remove shortcut from project
removeShutdownFile	Remove shutdown file from project shutdown list
removeStartupFile	Remove startup file from project startup list
Manage Project Files
addLabel	Attach label to project file
createCategory	Create category of project labels
createLabel	Create project label
findCategory	Find project category of labels
findFile	Find single project file by name
findFiles	Find project files by category or label name (Since R2024a)
findLabel	Get project file label
listAllProjectReferences	List all projects in reference hierarchy of current project (Since R2021a)
listImpactedFiles	Get files impacted by changes to specified project files (Since R2021a)
listModifiedFiles	List modified files in project
listRequiredFiles	Get files required by specified project files
matlab.project.isFileInProject	Determine whether file or folder belongs to project (Since R2023b)
matlab.project.isUnderProjectRoot	Determine whether file or folder is under project root folder (Since R2023a)
refreshSourceControl	Update source control status of project files
removeCategory	Remove project category of labels
removeLabel	Remove label from project
runChecks	Run all project checks (Since R2020a)
updateDependencies	Update project dependencies
Project Objects
matlab.project.Project	Project object
Source Control
Git in MATLAB
add	Mark new file for addition to Git repository (Since R2023b)
commit	Commit changes to Git repository (Since R2023b)
createBranch	Create new Git branch (Since R2023b)
deleteBranch	Delete local Git branch (Since R2023b)
discardChanges	Discard changes in Git repository (Since R2024a)
fetch	Download new data from remote Git repository (Since R2023b)
gitclone	Clone Git repository (Since R2023b)
gitinit	Initialize empty Git repository (Since R2023b)
gitrepo	Create Git repository object (Since R2023b)
log	Display record of commits in Git repository (Since R2023b)
matlab.git.GitRepository	Git repository object (Since R2023b)
merge	Merge Git branch, revision, or tag into current branch (Since R2023b)
pull	Download and merge new data from remote Git repository into local repository (Since R2023b)
push	Publish local changes to remote Git repository (Since R2023b)
rm	Mark file for deletion from Git repository (Since R2023b)
status	Display status of files in working folder and staging area in Git repository (Since R2023b)
switchBranch	Switch Git branch (Since R2023b)
Testing Frameworks
Write Unit Tests
assert	Throw error if condition false
functiontests	Create array of tests from handles to local functions
matlab.automation.diagnostics.Diagnostic	Fundamental interface for diagnostics
matlab.automation.Verbosity	Verbosity level enumeration class
matlab.unittest.FunctionTestCase	Test case for function-based tests
matlab.unittest.TestCase	Superclass of all test classes
Run Unit Tests
matlab.coverage.Result	Result of code coverage analysis (Since R2023a)
matlab.unittest.Test	Specification of a single test
matlab.unittest.TestCase	Superclass of all test classes
matlab.unittest.TestResult	Result of running test suite
matlab.unittest.TestRunner	Class for running tests in unit testing framework
matlab.unittest.TestSuite	Fundamental interface for grouping tests to run
run	Run test suite using default test runner
run	Run test suite
run	Run tests corresponding to test case
runInParallel	Run all tests in test suite in parallel
runtests	Run set of tests
testrunner	Create test runner (Since R2021a)
testsuite	Create suite of tests
Mock Dependencies in Tests
getMockHistory	Return history of mock object interactions
matlab.mock.actions.AssignOutputs	Define return values for method called or property accessed
matlab.mock.actions.DoNothing	Take no action (Since R2020a)
matlab.mock.actions.Invoke	Invoke function handle when method is called
matlab.mock.actions.ReturnStoredValue	Return stored property value
matlab.mock.actions.StoreValue	Store property value
matlab.mock.actions.ThrowException	Throw exception when method is called or when property is set or accessed
matlab.mock.AnyArguments	Match any number of arguments
matlab.mock.constraints.Occurred	Constraint qualifying mock object interactions
matlab.mock.constraints.WasAccessed	Constraint determining property get access
matlab.mock.constraints.WasCalled	Constraint determining method call
matlab.mock.constraints.WasSet	Constraint determining property set interaction
matlab.mock.InteractionHistory	Interface for mock object interaction history
matlab.mock.InteractionHistory.forMock	Return history from mock object
matlab.mock.MethodCallBehavior	Specify mock object method behavior and qualify method calls
matlab.mock.PropertyBehavior	Specify mock object property behavior and qualify interactions
matlab.mock.PropertyGetBehavior	Specify mock property get behavior
matlab.mock.PropertySetBehavior	Specify mock object set behavior
matlab.mock.TestCase	Class for writing tests with mocking framework
Test Apps
choose	Perform choose gesture on UI component
chooseContextMenu	Perform choose gesture on context menu item (Since R2020b)
chooseDialog	Select option in frontmost dialog box in figure window (Since R2024b)
dismissDialog	Dismiss frontmost dialog box in figure window (Since R2024b)
drag	Perform drag gesture on UI component
hover	Perform hover gesture on UI component
matlab.uitest.TestCase	Class for writing tests with app testing framework
matlab.uitest.TestCase.forInteractiveUse	Create test case for interactive use
matlab.uitest.unlock	Unlock figure locked by app testing framework
press	Perform press gesture on UI component
scroll	Perform scroll gesture on UI component (Since R2024a)
type	Type in UI component
Create and Run Performance Tests
matlab.perftest.FixedTimeExperiment	TimeExperiment that collects fixed number of measurements
matlab.perftest.FrequentistTimeExperiment	TimeExperiment that collects variable number of measurements
matlab.perftest.TestCase	Class for writing tests with performance testing framework
matlab.perftest.TimeExperiment	Interface for measuring execution time of code under test
matlab.perftest.TimeResult	Result from running time experiment
matlab.unittest.measurement.chart.ComparisonPlot	Visually compare two sets of time experiment results
matlab.unittest.measurement.DefaultMeasurementResult	Default implementation of MeasurementResult class
matlab.unittest.measurement.MeasurementResult	Base class for classes holding measurement results
runperf	Run set of tests for performance measurement
testsuite	Create suite of tests
Extend Testing Frameworks
matlab.automation.diagnostics.Diagnostic	Fundamental interface for diagnostics
matlab.test.behavior.Missing	Test if class satisfies contract for missing values
matlab.unittest.constraints.BooleanConstraint	Fundamental interface for constraints that support Boolean operations
matlab.unittest.constraints.Constraint	Fundamental interface for constraints
matlab.unittest.constraints.Tolerance	Fundamental interface for tolerances
matlab.unittest.diagnostics.ConstraintDiagnostic	Diagnostic with fields common to constraints
matlab.unittest.fixtures.Fixture	Fundamental interface for test fixtures
matlab.unittest.plugins.Parallelizable	Interface for plugins that support running tests in parallel
matlab.unittest.plugins.QualifyingPlugin	Interface for plugins that perform system-wide qualifications
matlab.unittest.plugins.TestRunnerPlugin	Plugin interface for extending test runner
Build Automation
Build Definition
matlab.buildtool.BuildResult	Result of running a build (Since R2022b)
matlab.buildtool.Plan	Fundamental interface for defining a build (Since R2022b)
matlab.buildtool.Task	Single unit of work in a build (Since R2022b)
matlab.buildtool.TaskAction	Action performed when task runs (Since R2022b)
matlab.buildtool.TaskContext	Context provided when task runs (Since R2022b)
matlab.buildtool.TaskGroup	Group of similar tasks (Since R2024b)
matlab.buildtool.TaskResult	Result of running a task (Since R2022b)
Task Inputs and Outputs
matlab.buildtool.io.File	Single file or folder (Since R2023b)
matlab.buildtool.io.FileCollection	Collection of files and folders (Since R2023a)
matlab.buildtool.io.Glob	File collection that matches pattern (Since R2023b)
matlab.buildtool.TaskInputs	Container for task inputs (Since R2023b)
matlab.buildtool.TaskOutputs	Container for task outputs (Since R2023b)
Built-In Tasks
matlab.buildtool.tasks.CleanTask	Task for deleting outputs and traces (Since R2023b)
matlab.buildtool.tasks.CodeIssuesTask	Task for identifying code issues (Since R2023b)
matlab.buildtool.tasks.MexTask	Task for building MEX file (Since R2024a)
matlab.buildtool.tasks.PcodeTask	Task for creating P-code files (Since R2024a)
matlab.buildtool.tasks.TestTask	Task for running tests (Since R2023b)
buildplan	Create build plan (Since R2022b)
buildtool	Invoke build tool (Since R2022b)
Toolbox Distribution
Toolbox Files
matlab.addons.toolbox.installedToolboxes	Return information about installed toolboxes
matlab.addons.toolbox.installToolbox	Install toolbox file
matlab.addons.toolbox.packageToolbox	Package toolbox project
matlab.addons.toolbox.ToolboxOptions	Options for packaging toolbox project (Since R2023a)
matlab.addons.toolbox.toolboxVersion	Query or modify version of toolbox
matlab.addons.toolbox.uninstallToolbox	Uninstall toolbox
Code Dependencies
matlab.codetools.requiredFilesAndProducts	List dependencies of MATLAB program files
Documentation and Code Completions
builddocsearchdb	Build searchable documentation database
patchdemoxmlfile	Patch demos.xml file (Since R2021a)
validateFunctionSignaturesJSON	Validate functionSignatures.json files
Settings API
addGroup	Add new factory settings group
addSetting	Add new factory setting
FactoryGroup	Group of factory settings and factory subgroup objects
FactorySetting	Factory settings object
matlab.settings.FactoryGroup.createToolboxGroup	Create FactoryGroup root object for toolbox
matlab.settings.loadSettingsCompatibilityResults	Results of upgrading personal settings of toolbox for specific version
matlab.settings.mustBeIntegerScalar	Validate that setting value is an integer scalar
matlab.settings.mustBeLogicalScalar	Validate that setting value is a logical scalar
matlab.settings.mustBeNumericScalar	Validate that setting value is a numeric scalar
matlab.settings.mustBeStringScalar	Validate that setting value is a string scalar
matlab.settings.reloadFactoryFile	Load or reload factory settings
matlab.settings.SettingsFileUpgrader	Version-specific changes in factory settings tree of toolbox
move	Record move or rename of factory setting or group
OperationResult	Status of individual operation when upgrading toolbox
ReleaseCompatibilityException	Exception that occurs when upgrading toolbox
ReleaseCompatibilityResults	Results of upgrading toolbox with specific version number
remove	Record removal of factory setting or group
VersionResults	Results of upgrade operations
Package Management
Manage Packages
mpmcreate	Create package (Since R2024b)
mpminstall	Install package (Since R2024b)
mpmlist	List installed packages (Since R2024b)
mpmsearch	Search for packages in repositories (Since R2024b)
mpmuninstall	Uninstall package (Since R2024b)
Manage Repositories
mpmAddRepository	Add repository to repository list (Since R2024b)
mpmListRepositories	List known repositories (Since R2024a)
mpmRemoveRepository	Remove repository from repository list (Since R2024b)
Manage Package Folders and Dependencies
addDependency	Add dependency to package (Since R2024b)
addFolder	Add member folder to package (Since R2024b)
digest	Generate cryptographic hash for package (Since R2024b)
removeDependency	Remove dependency from package (Since R2024b)
removeFolder	Remove member folder from package (Since R2024b)
updateDependency	Update dependency information (Since R2024b)
Package Manager
matlab.mpm.Dependency	Package dependency (Since R2024b)
matlab.mpm.Package	MATLAB package (Since R2024b)
matlab.mpm.PackageFolder	Package member folder (Since R2024b)
matlab.mpm.PackageSpecifier	Package specifier (Since R2024b)
matlab.mpm.Provider	Package provider (Since R2024b)
matlab.mpm.Repository	Package repository (Since R2024b)
matlab.mpm.Version	Package version (Since R2024b)
External Language Interfaces
C++ with MATLAB
Call C++ from MATLAB
clibArray	Create MATLAB clib array for C++ library functions (Since R2020a)
clibConfiguration	Change execution mode of C++ library interface (Since R2023a)
clibConvertArray	Convert MATLAB fundamental or struct array to MATLAB array of C++ objects (Since R2020a)
clibgen.buildInterface	Create interface to C++ library without definition file
clibgen.generateLibraryDefinition	Create definition file for C++ library
clibIsNull	Determine if C++ object is null
clibIsReadOnly	Determine if C++ object is read-only
clibPublishInterfaceWorkflow	Publish interface for C++ library in the Live Editor (Since R2023a)
CLibraryConfiguration	C++ library interface environment information (Since R2023a)
clibRelease	Release C++ object from MATLAB
underlyingValue	Underlying numeric value for C++ enumeration object created in MATLAB
Call C/C++ MEX Functions from MATLAB
feval	Evaluate C++ MEX function in MEX host process
matlab.mex.MexHost	Out-of-process host for C++ MEX function execution
mex	Build MEX function or engine application
mexext	Binary MEX file-name extension
mexhost	Create host process for C++ MEX function
Call MATLAB from C++
matlab.engine.engineName	Return name of shared MATLAB session
matlab.engine.isEngineShared	Determine if MATLAB session is shared
matlab.engine.shareEngine	Convert running MATLAB session to shared session
matlab.engine.typedinterface.generateCPP	Generate C++ code interface for MATLAB namespaces, classes, and functions (Since R2022a)
mex	Build MEX function or engine application
Java with MATLAB
Call Java from MATLAB
isjava	Determine if input is Java object
javaaddpath	Add entries to dynamic Java class path
javaArray	Construct Java array object
javachk	Error message based on Java feature support
javaclasspath	Return Java class path or specify dynamic path
JavaEnvironment	Java environment information (Since R2023a)
javaMethod	Call Java method
javaMethodEDT	Call Java method from Event Dispatch Thread (EDT)
javaObject	Call Java constructor
javaObjectEDT	Call Java constructor on Event Dispatch Thread (EDT)
javarmpath	Remove entries from dynamic Java class path
jenv	Set Java path for MATLAB (Since R2021b)
matlab.exception.JavaException	Capture error information for Java exception
matlab_jenv	Set the Java path for MATLAB from system prompt (Since R2021b)
usejava	Determine if Java feature is available
Call MATLAB from Java
matlab.engine.engineName	Return name of shared MATLAB session
matlab.engine.isEngineShared	Determine if MATLAB session is shared
matlab.engine.shareEngine	Convert running MATLAB session to shared session
Python with MATLAB
Call Python from MATLAB
matlab.exception.PyException	Capture error information for Python exception
pyargs	Create keyword arguments for Python function
pyenv	Change default environment of Python interpreter
pyrun	Run Python statements from MATLAB (Since R2021b)
pyrunfile	Run Python script file from MATLAB (Since R2021b)
PythonEnvironment	Python environment information
Call MATLAB from Python
matlab.engine.connect_matlab	Connect shared MATLAB session to MATLAB Engine for Python
matlab.engine.engineName	Return name of shared MATLAB session
matlab.engine.find_matlab	Find shared MATLAB sessions to connect to MATLAB Engine for Python
matlab.engine.FutureResult	Results of asynchronous call to MATLAB function stored in Python object
matlab.engine.isEngineShared	Determine if MATLAB session is shared
matlab.engine.MatlabEngine	Python object using MATLAB as computational engine within Python session
matlab.engine.shareEngine	Convert running MATLAB session to shared session
matlab.engine.start_matlab	Start MATLAB Engine for Python
.NET with MATLAB
Call .NET from MATLAB
BeginInvoke	Initiate asynchronous .NET delegate call
bitnot	.NET enumeration object bit-wise NOT instance method
Combine	Convenience function for static .NET System.Delegate Combine method
dotnetenv	Change .NET default environment (Since R2022b)
enableNETfromNetworkDrive	(To be removed) Enable access to .NET commands from network drive
EndInvoke	Retrieve result of asynchronous call initiated by .NET System.Delegate BeginInvoke method
NET.addAssembly	Make .NET assembly visible to MATLAB
NET.Assembly	Members of .NET assembly
NET.convertArray	(Not recommended) Convert numeric MATLAB array to .NET array
NET.createArray	Array for nonprimitive .NET types
NET.createDictionary	Generic .NET Dictionary (Since R2023a)
NET.createGeneric	Create instance of specialized .NET generic type
NET.disableAutoRelease	Lock .NET object representing RunTime Callable Wrapper (COM wrapper)
NET.enableAutoRelease	Unlock .NET object representing RunTime Callable Wrapper (COM wrapper)
NET.GenericClass	Represent parameterized generic type definitions
NET.interfaceView	Explicit interface view of .NET object (Since R2023b)
